Date,Product_ID,Stock_Level,Sales,Stock_to_Reorder,Day_of_Week,Month,Anomaly_Pred
2025-01-01,P001,50,17.685154934294317,20,2,1,1
2025-01-02,P001,50,16.238408295558315,20,3,1,1
2025-01-03,P001,50,17.523554755251755,20,4,1,1
2025-01-04,P001,50,18.745137333549817,20,5,1,1
2025-01-05,P001,50,18.364511518290186,20,6,1,1
2025-01-06,P001,50,18.677292777566393,20,0,1,1
2025-01-07,P001,50,14.26406864088859,20,1,1,1
2025-01-08,P001,50,18.370659000633317,20,2,1,1
2025-01-09,P001,50,16.923912350633845,20,3,1,1
2025-01-10,P001,50,18.209058799061875,20,4,1,1
2025-01-11,P001,50,19.430641366072397,20,5,1,1
2025-01-12,P001,50,19.050015539545555,20,6,1,1
2025-01-13,P001,50,19.362796788229154,20,0,1,1
2025-01-14,P001,50,14.949572652239889,20,1,1,1
2025-01-15,P001,50,19.056163012667124,20,2,1,1
2025-01-16,P001,50,17.609416363343467,20,3,1,1
2025-01-17,P001,50,18.89456281244768,20,4,1,1
2025-01-18,P001,50,20.116145380179162,20,5,1,1
2025-01-19,P001,50,19.735519561833392,20,6,1,1
2025-01-20,P001,50,20.04830081805613,20,0,1,1
2025-01-21,P001,50,15.635076689583467,20,1,1,1
2025-01-22,P001,50,19.741667057541797,20,2,1,1
2025-01-23,P001,50,18.29492041574187,20,3,1,1
2025-01-24,P001,50,19.580066872379263,20,4,1,1
2025-01-25,P001,50,20.801649446998972,20,5,1,1
2025-01-26,P001,50,20.421023628048772,20,6,1,1
2025-01-27,P001,50,20.733804883652372,20,0,1,1
2025-01-28,P001,50,16.3205807545694,20,1,1,1
2025-01-29,P001,50,20.427171121907786,20,2,1,1
2025-01-30,P001,50,18.98042447949842,20,3,1,1
2025-01-31,P001,50,20.265570936415994,20,4,1,1
2025-02-01,P001,50,21.487153511944324,20,5,2,0
2025-02-02,P001,50,21.1065276938981,20,6,2,1
2025-02-03,P001,50,21.419308950395997,20,0,2,1
2025-02-04,P001,50,17.006084822215705,20,1,2,0
2025-02-05,P001,50,21.11267518754259,20,2,2,0
2025-02-06,P001,50,19.665928543127343,20,3,2,0
2025-02-07,P001,50,20.95107499714074,20,4,2,0
2025-02-08,P001,50,22.172657569742537,20,5,2,0
2025-02-09,P001,50,21.79203174878128,20,6,2,1
2025-02-10,P001,50,22.104813002378897,20,0,2,1
2025-02-11,P001,50,17.69158887474679,20,1,2,0
2025-02-12,P001,50,21.798179243532672,20,2,2,0
2025-02-13,P001,50,20.35143260256923,20,3,2,0
2025-02-14,P001,50,21.63657906004557,20,4,2,1
2025-02-15,P001,50,22.858161636100945,20,5,2,1
2025-02-16,P001,50,22.477535818614637,20,6,2,1
2025-02-17,P001,50,22.79031708121134,20,0,2,1
2025-02-18,P001,50,18.377092959130827,20,1,2,0
2025-02-19,P001,50,22.483683333471898,20,2,2,0
2025-02-20,P001,50,21.03693669806481,20,3,2,0
2025-02-21,P001,50,22.322083161067095,20,4,2,0
2025-02-22,P001,50,23.543665742701943,20,5,2,1
2025-02-23,P001,50,23.163039932485447,20,6,2,1
2025-02-24,P001,50,23.47582119681513,20,0,2,1
2025-02-25,P001,50,19.062597076476667,20,1,2,0
2025-02-26,P001,50,23.169187452558845,20,2,2,0
2025-02-27,P001,50,21.72244081887696,20,3,2,0
2025-02-28,P001,50,23.00758728264072,20,4,2,1
2025-03-01,P001,50,24.229169865027906,20,5,3,0
2025-03-02,P001,50,23.848544053845842,20,6,3,0
2025-03-03,P001,50,24.161325317205343,20,0,3,1
2025-03-04,P001,50,19.748101195872977,20,1,3,0
2025-03-05,P001,50,23.854691570971468,20,2,3,0
2025-03-06,P001,50,22.407940921249303,20,3,3,0
2025-03-07,P001,50,23.693083369952035,20,4,3,0
2025-03-08,P001,50,24.914661937266715,20,5,3,0
2025-03-09,P001,50,24.53403211101956,20,6,3,0
2025-03-10,P001,50,24.846809359299243,20,0,3,1
2025-03-11,P001,50,20.43358122290497,20,1,3,0
2025-03-12,P001,50,24.539472827162825,20,2,3,0
2025-03-13,P001,50,23.092027421651565,20,3,3,0
2025-03-14,P001,50,24.376475114580924,20,4,3,0
2025-03-15,P001,50,25.597358926116975,20,5,3,0
2025-03-16,P001,50,25.216034344083734,20,6,3,0
2025-03-17,P001,50,25.528116836601217,20,0,3,1
2025-03-18,P001,50,21.106785474425095,20,1,3,0
2025-03-19,P001,50,25.205268608682918,20,2,3,0
2025-03-20,P001,50,23.750414733182197,20,3,3,0
2025-03-21,P001,50,25.02745395610946,20,4,3,0
2025-03-22,P001,50,26.24092929764067,20,5,3,0
2025-03-23,P001,50,25.850806523832226,20,6,3,0
2025-03-24,P001,50,26.15409082455979,20,0,3,1
2025-03-25,P001,50,21.73136974061164,20,1,3,0
2025-03-26,P001,50,25.828463153085565,20,2,3,0
2025-03-27,P001,50,24.3722195558152,20,3,3,0
2025-03-28,P001,50,25.647869056949816,20,4,3,0
2025-03-29,P001,50,26.84944184559794,20,5,3,0
2025-03-30,P001,50,26.448806240683005,20,6,3,0
2025-03-31,P001,50,26.741577710312068,20,0,3,1
2025-04-01,P001,50,22.308343795242877,20,1,4,0
2025-04-02,P001,50,26.39492437660567,20,2,4,0
2025-04-03,P001,50,24.92816794822598,20,3,4,0
2025-04-04,P001,50,26.17719901603391,20,4,4,0
2025-04-05,P001,50,27.362666202454967,20,5,4,0
2025-04-06,P001,50,26.94592499531453,20,6,4,1
2025-04-07,P001,50,27.222590862720114,20,0,4,1
2025-04-08,P001,50,22.77325134542918,20,1,4,0
2025-04-09,P001,50,26.843726324574803,20,2,4,0
2025-04-10,P001,50,25.34134023951713,20,3,4,0
2025-04-11,P001,50,26.57084725288373,20,4,4,0
2025-04-12,P001,50,27.736790384856686,20,5,4,0
2025-04-13,P001,50,27.30052512327642,20,6,4,1
2025-04-14,P001,50,27.557666936239276,20,0,4,1
2025-04-15,P001,50,23.08880336450486,20,1,4,0
2025-04-16,P001,50,27.115414282528413,20,2,4,0
